Tanggal,Interval Mulai,Interval Selesai,t (interval),count,durasi aktif
4/6/2026,22:42:00,22:52:00,1,4,35
4/6/2026,22:52:00,23:02:00,2,4,36
4/6/2026,23:02:00,23:12:00,3,6,49
4/6/2026,23:12:00,23:22:00,4,2,23
4/6/2026,23:22:00,23:32:00,5,4,36
4/6/2026,23:32:00,23:42:00,6,18,162
4/6/2026,23:42:00,23:52:00,7,25,225
4/6/2026,23:52:00,0:02:00,8,29,257
4/6/2026,0:02:00,0:12:00,9,29,262
4/6/2026,0:12:00,0:22:00,10,16,143
4/6/2026,0:22:00,0:32:00,11,11,97
4/6/2026,0:32:00,0:42:00,12,6,54
4/6/2026,0:42:00,0:52:00,13,0,0
4/6/2026,0:52:00,1:02:00,14,0,0
4/6/2026,1:02:00,1:12:00,15,0,0
4/6/2026,1:12:00,1:22:00,16,21,185
4/6/2026,1:22:00,1:32:00,17,23,211
4/6/2026,1:32:00,1:42:00,18,24,216
