Tanggal,Interval Mulai,Interval Selesai,t (interval),count,durasi aktif
3/6/2026,11:52:00,12:02:00,1,0,0
3/6/2026,12:02:00,12:12:00,2,0,0
3/6/2026,12:12:00,12:22:00,3,0,0
3/6/2026,12:22:00,12:32:00,4,0,0
3/6/2026,12:32:00,12:42:00,5,0,0
3/6/2026,12:42:00,12:52:00,6,0,0
3/6/2026,12:52:00,13:02:00,7,0,0
3/6/2026,13:02:00,13:12:00,8,0,0
3/6/2026,13:12:00,13:22:00,9,0,0
3/6/2026,13:22:00,13:32:00,10,0,0
3/6/2026,13:32:00,13:42:00,11,0,0
3/6/2026,13:42:00,13:52:00,12,0,0
3/6/2026,13:52:00,14:02:00,13,1,8
3/6/2026,14:02:00,14:12:00,14,0,0
3/6/2026,14:12:00,14:22:00,15,3,27
3/6/2026,14:22:00,14:32:00,16,1,9
3/6/2026,14:32:00,14:42:00,17,1,9
3/6/2026,14:42:00,14:52:00,18,3,27
3/6/2026,14:52:00,15:02:00,19,12,108
3/6/2026,15:02:00,15:12:00,20,10,90
3/6/2026,15:12:00,15:22:00,21,7,63
3/6/2026,15:32:00,15:42:00,22,1,9
3/6/2026,15:42:00,15:52:00,23,0,0
3/6/2026,15:52:00,16:02:00,24,0,0
