Tanggal,Interval Mulai,Interval Selesai,t (interval),count,durasi aktif
2/6/2026,13:02:00,13:12:00,1,0,0
2/6/2026,13:12:00,13:22:00,2,0,0
2/6/2026,13:22:00,13:32:00,3,0,0
2/6/2026,13:32:00,13:42:00,4,3,26
2/6/2026,13:42:00,13:52:00,5,11,98
2/6/2026,13:52:00,14:02:00,6,12,102
2/6/2026,14:02:00,14:12:00,7,8,77
2/6/2026,14:12:00,14:22:00,8,5,44
2/6/2026,14:22:00,14:32:00,9,1,9
2/6/2026,14:32:00,14:42:00,10,0,0
2/6/2026,14:42:00,14:52:00,11,1,9
2/6/2026,14:52:00,15:02:00,12,0,0
2/6/2027,15:02:00,15:12:00,13,0,0
2/6/2028,15:12:00,15:22:00,14,0,0
2/6/2029,15:22:00,15:32:00,15,0,0
2/6/2030,15:32:00,15:42:00,16,0,0
2/6/2026,15:42:00,15:52:00,17,0,0
2/6/2026,15:52:00,16:02:00,18,0,0
2/6/2026,16:12:00,16:22:00,19,0,0
2/6/2026,16:22:00,16:32:00,20,0,0
2/6/2026,16:32:00,16:42:00,21,3,27
2/6/2026,16:42:00,16:52:00,22,13,117
2/6/2026,16:52:00,17:02:00,23,9,81
2/6/2026,17:02:00,17:12:00,24,10,90
2/6/2026,17:12:00,17:22:00,25,1,9
2/6/2026,17:22:00,17:32:00,26,0,0
2/6/2026,17:32:00,17:42:00,27,15,134
2/6/2026,17:42:00,17:52:00,28,7,63
2/6/2026,17:52:00,18:02:00,29,14,124
2/6/2026,18:02:00,18:12:00,30,19,166
2/6/2026,18:12:00,18:22:00,31,18,159
2/6/2026,18:22:00,18:32:00,32,31,272
2/6/2026,18:32:00,18:42:00,33,8,63
2/6/2026,18:42:00,18:52:00,34,11,106
2/6/2026,18:52:00,19:02:00,35,2,18
2/6/2026,19:02:00,19:12:00,36,0,0
2/6/2026,19:12:00,19:22:00,37,0,0
2/6/2026,19:22:00,19:32:00,38,0,0
2/6/2026,19:32:00,19:42:00,39,12,102
2/6/2026,19:42:00,19:52:00,40,11,101
2/6/2026,19:52:00,20:02:00,41,9,80
2/6/2026,20:02:00,20:12:00,42,10,89
2/6/2026,20:12:00,20:22:00,43,29,259
2/6/2026,20:22:00,20:32:00,44,7,57
2/6/2026,20:32:00,20:42:00,45,12,112
2/6/2026,20:42:00,20:52:00,46,25,220
2/6/2026,20:52:00,21:02:00,47,13,117
2/6/2026,21:02:00,21:12:00,48,8,70
2/6/2026,21:12:00,21:22:00,49,12,107
2/6/2026,21:22:00,21:32:00,50,0,0
2/6/2026,21:32:00,21:42:00,51,0,0
2/6/2026,21:42:00,21:52:00,52,1,9
2/6/2026,21:52:00,22:02:00,53,0,0
2/6/2026,22:02:00,22:12:00,54,0,0
2/6/2026,22:12:00,22:22:00,55,0,0
2/6/2026,22:22:00,22:32:00,56,3,27
