Tanggal,Interval Mulai,Interval Selesai,t (interval),count,durasi aktif
1/6/2026,15:44:00,15:54:00,1,0,0
1/6/2026,15:54:00,16:04:00,2,0,0
1/6/2026,16:04:00,16:14:00,3,0,0
1/6/2026,16:14:00,16:24:00,4,0,0
1/6/2026,16:24:00,16:34:00,5,0,0
1/6/2026,16:34:00,16:44:00,6,0,0
1/6/2026,16:44:00,16:54:00,7,0,0
1/6/2026,16:54:00,17:04:00,8,9,80
1/6/2026,17:04:00,17:14:00,9,27,234
1/6/2026,17:14:00,17:24:00,10,8,75
1/6/2026,17:24:00,17:34:00,11,30,263
1/6/2026,17:34:00,17:44:00,12,6,54
1/6/2026,17:44:00,17:54:00,13,20,175
1/6/2026,17:54:00,18:04:00,14,16,142
1/6/2026,18:04:00,18:14:00,15,29,257
1/6/2026,18:14:00,18:24:00,16,19,166
1/6/2026,18:24:00,18:34:00,17,19,170
1/6/2026,18:34:00,18:44:00,18,26,227
1/6/2026,18:44:00,18:54:00,19,25,220
1/6/2026,18:54:00,19:04:00,20,16,142
1/6/2026,19:04:00,19:14:00,21,10,90
1/6/2026,19:14:00,19:24:00,22,23,197
1/6/2026,19:24:00,19:34:00,23,28,255
1/6/2026,19:34:00,19:44:00,24,11,98
1/6/2026,19:44:00,19:54:00,25,24,210
1/6/2026,19:54:00,20:04:00,26,24,211
1/6/2026,20:04:00,20:14:00,27,14,125
1/6/2026,20:14:00,20:24:00,28,29,257
1/6/2026,20:24:00,20:34:00,29,2,18
1/6/2026,20:34:00,20:44:00,30,12,106
1/6/2026,20:44:00,20:54:00,31,7,59
1/6/2026,20:54:00,21:04:00,32,27,239
1/6/2026,21:04:00,21:14:00,33,0,0
1/6/2026,21:14:00,21:24:00,34,0,0
1/6/2026,21:24:00,21:34:00,35,1,9
1/6/2026,21:34:00,21:44:00,36,10,90
1/6/2026,21:44:00,21:54:00,37,30,265
1/6/2026,21:54:00,22:04:00,38,32,281
1/6/2026,22:04:00,22:10:00,39,28,246
